temporada,hora,equipo,rival,condicion,goles_valencia,goles_rival,resultado_valencia,puntos,diferencia_goles,goles_descanso_valencia,goles_descanso_rival,resultado_descanso,fecha,anio,mes,dia_semana,semana_anio,temporada_id,temporada_num,franja,puntos_posibles,efectividad_puntos,resultado_num,victoria_bin,empate_bin,derrota_bin,local_bin,goles_totales,puntos_rolling_5,ventaja_descanso,remonto,remontado,partido_id,decada,competicion,jornada_num,fase_temporada
1993-1994,,Valencia,Oviedo,Visitante,3.0,0.0,V,3,3.0,,,,1993-09-05,1993,9,Domingo,35,1993,1,,3,1.0,1,1,0,0,0,3.0,3.0,,,,1993-1994_1993-09-05_OVIEDO_V,1990s,LaLiga,1,1
1993-1994,,Valencia,Ath Madrid,Local,2.0,2.0,E,1,0.0,,,,1993-09-12,1993,9,Domingo,36,1993,1,,3,0.3333333333333333,0,0,1,0,1,4.0,4.0,,,,1993-1994_1993-09-12_ATHMADRID_L,1990s,LaLiga,2,1
1993-1994,,Valencia,Santander,Visitante,1.0,0.0,V,3,1.0,,,,1993-09-19,1993,9,Domingo,37,1993,1,,3,1.0,1,1,0,0,0,1.0,7.0,,,,1993-1994_1993-09-19_SANTANDER_V,1990s,LaLiga,3,1
1993-1994,,Valencia,Tenerife,Local,3.0,2.0,V,3,1.0,,,,1993-09-26,1993,9,Domingo,38,1993,1,,3,1.0,1,1,0,0,1,5.0,10.0,,,,1993-1994_1993-09-26_TENERIFE_L,1990s,LaLiga,4,1
1993-1994,,Valencia,Lerida,Visitante,1.0,1.0,E,1,0.0,,,,1993-10-03,1993,10,Domingo,39,1993,1,,3,0.3333333333333333,0,0,1,0,0,2.0,11.0,,,,1993-1994_1993-10-03_LERIDA_V,1990s,LaLiga,5,1
1993-1994,,Valencia,Vallecano,Local,3.0,1.0,V,3,2.0,,,,1993-10-06,1993,10,Miércoles,40,1993,1,,3,1.0,1,1,0,0,1,4.0,11.0,,,,1993-1994_1993-10-06_VALLECANO_L,1990s,LaLiga,6,1
1993-1994,,Valencia,Logrones,Visitante,0.0,2.0,D,0,-2.0,,,,1993-10-17,1993,10,Domingo,41,1993,1,,3,0.0,-1,0,0,1,0,2.0,10.0,,,,1993-1994_1993-10-17_LOGRONES_V,1990s,LaLiga,7,1
1993-1994,,Valencia,Ath Bilbao,Local,1.0,0.0,V,3,1.0,,,,1993-10-24,1993,10,Domingo,42,1993,1,,3,1.0,1,1,0,0,1,1.0,10.0,,,,1993-1994_1993-10-24_ATHBILBAO_L,1990s,LaLiga,8,1
1993-1994,,Valencia,Celta,Local,3.0,0.0,V,3,3.0,,,,1993-10-31,1993,10,Domingo,43,1993,1,,3,1.0,1,1,0,0,1,3.0,10.0,,,,1993-1994_1993-10-31_CELTA_L,1990s,LaLiga,9,1
1993-1994,,Valencia,Sp Gijon,Visitante,0.0,2.0,D,0,-2.0,,,,1993-11-07,1993,11,Domingo,44,1993,1,,3,0.0,-1,0,0,1,0,2.0,9.0,,,,1993-1994_1993-11-07_SPGIJON_V,1990s,LaLiga,10,1
